sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
2.0,0.315,0.25,0.09,,0.0615,,0.0795,1
2.0,0.445,0.35,0.115,0.3615,0.1565,0.0695,0.117,0
1.0,0.48,,,0.524,0.246,0.1095,0.145,0
0.0,0.555,0.42,0.14,0.868,0.33,,0.21,1
,0.595,0.485,0.15,,0.5305,0.231,0.276,0
2.0,0.76,0.575,0.19,1.829,0.7035,,,1
0.0,0.43,0.34,0.12,0.391,0.1555,0.095,,0
0.0,,0.47,,,0.378,0.2145,0.36,1
2.0,0.6,0.45,0.15,0.8665,0.3695,0.1955,0.255,1
1.0,0.57,0.445,,0.7405,,0.172,,1
0.0,0.505,0.38,0.145,,0.2935,,0.17,1
,0.65,0.505,0.18,,0.7115,0.3335,0.38,1
0.0,0.67,0.545,0.175,1.707,0.6995,0.387,0.575,1
2.0,,0.4,0.155,,0.282,0.1605,0.225,1
2.0,0.72,0.55,0.205,2.165,1.1055,0.525,0.404,1
2.0,0.575,0.445,0.145,0.876,0.3795,0.1615,0.27,1
,0.655,0.525,0.185,,0.487,,0.445,1
0.0,,,0.175,1.571,0.627,0.271,0.475,1
0.0,0.585,,0.16,1.077,,0.2875,0.25,1
2.0,0.665,0.515,0.165,1.3855,,0.302,0.3445,0
0.0,0.565,0.45,0.165,0.887,,0.239,0.249,1
0.0,,0.44,0.155,0.6405,0.336,0.1765,0.245,0
0.0,0.58,0.44,0.125,0.7855,0.363,0.1955,0.195,1
0.0,0.665,0.525,0.21,1.644,0.818,0.3395,0.4275,1
0.0,0.645,0.5,0.15,,0.4675,0.3355,0.31,1
0.0,0.605,0.47,0.155,0.974,0.393,0.224,0.3345,1
2.0,0.43,0.33,0.095,0.34,0.1315,0.085,0.112,1
,0.46,0.345,0.115,0.4215,0.1895,0.102,0.111,0
,,0.235,0.08,0.131,,,0.043,0
2.0,0.46,0.375,0.13,0.5735,0.2505,0.119,0.195,1
2.0,,0.425,0.125,0.79,0.372,0.205,0.19,0
2.0,0.57,0.45,0.14,0.795,0.3385,0.148,0.245,1
1.0,0.3,,0.075,0.127,0.052,0.03,0.0345,0
0.0,0.48,0.37,0.13,0.5885,0.2475,0.1505,0.1595,1
2.0,0.52,0.41,0.115,0.77,0.263,0.157,0.26,1
2.0,0.67,0.5,,1.269,0.576,0.2985,0.351,1
0.0,0.59,0.415,0.15,0.8805,0.3645,0.234,0.235,1
