,FeatureImportance
0,0.0043315886642783475
1,0.004793037379074138
2,0.011682787791979484
3,0.0011637544759338515
4,0.027171026425025054
5,0.006340607964110792
6,0.07375894925213322
7,0.013052574936854773
8,0.004214758487714634
9,0.007606906310531605
10,0.009875851574213595
11,0.01161542457895873
12,0.0034885919156042618
13,0.0027441827997038513
14,0.002059937977674959
15,0.07199795434334072
16,0.014763627083454156
17,0.009278970823156773
18,0.02892072334065472
19,0.005837816341877319
20,0.06725655645065967
21,0.002108599593359441
22,0.028212547312803468
23,0.04687317553888311
24,0.049018405586667944
25,0.01621636918464602
26,0.018918240854791
27,0.0060822289458806
28,0.0019128499022466245
29,0.00328305726401301
30,0.0018977163720285497
31,0.0007253688510003307
32,0.003055748069111326
33,0.0007832097335581631
34,0.004368268689036667
35,0.00436629155403519
36,0.01772521876851505
37,0.00043912453575201105
38,0.0031720391526012964
39,0.0012945769387212142
40,0.0008590761422559518
41,0.005586243687439702
42,0.001464356793995161
43,0.00178757628681229
44,0.009851185324525492
45,0.016375963151127416
46,0.00022916198322907105
47,0.0008615010308222315
48,0.004915382907320165
49,0.01261050817928091
50,0.0022693915523450607
51,0.10792002900349566
52,0.07960309486805985
53,0.003458503225807575
54,0.0599418588285752
55,0.05336505631822575
56,0.046492444952096854
