sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
,,0.515,0.165,,,0.2555,0.41,1
,0.595,0.455,0.16,,,0.2655,0.288,1
1.0,,,0.135,0.522,,,,1
,,,0.125,,0.5235,0.283,0.3275,1
1.0,0.29,,,0.1115,0.048,0.0205,,0
,0.57,,0.15,,,0.255,,0
1.0,,0.335,,0.3305,,,,0
,0.635,,0.19,1.3715,,,0.45,1
2.0,0.65,,0.17,,0.6215,,,1
0.0,,0.525,0.215,,,0.2595,0.665,1
,0.51,,0.13,,0.219,0.1365,,1
2.0,,0.46,0.165,1.1135,0.5825,,,1
0.0,0.73,,,1.6895,,0.1965,0.4935,1
0.0,,,0.175,,,0.3045,0.33,1
,,0.49,,,,,0.3,1
2.0,,,0.16,,,0.176,0.27,1
0.0,,,0.17,1.564,0.612,0.394,0.44,1
,0.45,0.36,0.11,,,,0.13,1
,0.38,,0.095,0.2815,,,0.09,0
2.0,,,,,0.473,,0.425,1
1.0,0.315,,,,,,0.0425,0
,,,0.13,0.6015,0.3015,,,0
,,,0.08,0.176,,0.0355,0.063,0
2.0,0.605,,0.18,1.1155,0.479,,,1
2.0,0.715,0.565,,1.9525,,0.4185,0.4135,1
,0.64,0.475,0.175,1.1545,0.4865,0.341,0.288,1
,,,,,,,0.213,1
0.0,0.6,,0.18,1.162,,,0.32,1
2.0,,,,2.125,,,,1
2.0,,0.455,,0.832,,,,1
,0.315,,,0.134,0.0575,,0.3505,0
,0.45,0.35,0.145,,0.1765,0.123,0.175,1
0.0,0.475,,,,0.194,0.1455,0.125,1
,,0.2,0.07,0.096,0.037,0.0225,,0
,,,0.1,0.411,,0.0855,0.135,0
1.0,,0.455,,,,,0.246,1
,0.57,0.435,,0.8965,0.383,0.1835,,1
1.0,0.495,0.37,0.125,,0.185,,,1
0.0,,,,1.242,0.576,,,1
1.0,,,0.07,,,,,0
2.0,0.68,,0.18,,0.7635,0.3115,0.4025,1
,,,0.165,0.6885,0.249,,,1
2.0,,,,1.157,0.522,,0.36,1
,,,,,,0.156,,1
0.0,0.655,,0.155,1.309,,,,1
,0.62,0.495,,1.062,,,,1
2.0,0.515,0.385,0.13,0.623,,0.1285,,1
0.0,0.615,0.47,,1.084,,,,1
,,,0.1,,,,0.135,0
1.0,,0.335,0.11,0.444,0.225,0.0745,0.11,0
2.0,,0.45,0.165,0.9655,0.498,,0.23,0
2.0,0.51,0.415,0.14,,0.3025,0.2155,,1
,0.5,,,0.63,0.234,,,1
0.0,0.465,0.35,,,,0.091,0.1345,1
1.0,,0.41,0.13,0.6075,,,,1
,,,,0.7145,,,0.2075,1
0.0,0.645,,,1.197,,0.2925,0.317,1
1.0,,,,0.3705,0.1545,0.084,,0
2.0,0.37,0.285,,0.228,,,0.081,1
0.0,,,,1.0515,,,,0
1.0,0.22,0.16,0.05,0.049,,,,0
,0.435,0.335,0.1,0.3245,,,,0
,0.495,0.38,,0.6295,0.263,0.1425,0.215,1
0.0,0.74,,,2.012,,0.5265,,1
,0.485,,,0.5415,0.2595,0.096,0.16,1
0.0,0.6,0.485,,0.776,0.3545,0.1585,,1
,,,0.11,0.314,,0.057,,1
1.0,0.425,0.31,0.095,0.3075,0.139,,,0
,0.58,0.445,0.135,,,0.1915,0.22,1
,,,,,0.702,,,1
2.0,,,0.15,1.1495,,,0.264,0
,0.55,0.44,0.135,,,,,1
,0.55,0.405,0.15,0.9235,0.412,0.2135,,0
1.0,0.52,,,,,,0.1425,0
2.0,0.6,0.465,0.2,,,,0.357,1
2.0,,,,,0.5705,0.271,0.405,1
2.0,,,,0.5095,0.2165,,0.165,1
2.0,,,0.19,,0.9955,,0.5305,1
,0.425,0.34,,,0.149,,,1
,,0.255,,,0.097,,0.05,0
,0.44,,,,0.171,,,1
,0.7,0.575,,,1.095,0.418,,1
2.0,,,0.19,,0.519,0.306,0.4465,1
,0.465,0.365,0.115,0.467,,,,0
2.0,0.465,0.375,,0.5,,0.113,0.1505,0
,0.49,0.39,0.135,0.5785,0.2465,0.123,0.2,1
,0.55,0.43,0.14,,0.375,0.218,0.1945,0
,0.75,,0.215,,,,,1
,,,0.16,0.756,,,0.275,1
1.0,0.35,,,,,0.049,,0
1.0,,0.3,0.115,,,,,1
,0.38,,0.105,0.257,,0.051,,1
,,,0.155,1.153,,0.2505,,1
2.0,,,0.185,,,,,1
0.0,,,,1.3825,,0.285,0.381,1
1.0,0.2,0.145,0.025,,,,0.01,0
,0.6,0.475,,1.059,,0.19,,1
