sex,length,diameter,height,whole_weight,shucked_weight,viscera_weight,shell_weight,class
,,,,,0.2245,0.101,,1
,,0.265,,,0.0995,0.0485,0.07,0
,0.53,,,,0.2565,,,1
,0.44,,,0.516,0.2155,,,1
,,,,0.205,,0.0395,0.055,0
,,0.3,,0.3515,0.141,,,0
,,,0.15,,,,0.33,1
,0.545,,0.125,,0.294,,,1
,0.475,0.37,0.125,,0.2165,,,1
0.0,,,,0.8945,0.3145,0.151,,1
,,,,,0.194,,0.21,1
2.0,,,,,0.1675,,0.135,1
,,0.38,,,,,,1
,,,0.145,,,,,1
0.0,0.47,0.355,,,,0.0805,0.185,1
,,0.4,,,,,,1
,0.355,0.28,,,,,,0
,,,,,,,,1
,,0.295,,0.2555,0.097,,,0
2.0,,,,,,0.075,0.115,1
,,,,,0.0955,0.062,,1
,,0.275,,0.2255,,,,1
,0.565,0.44,,,,0.214,0.27,1
,0.55,,,0.7635,,,0.2,1
,,,0.165,1.1615,,0.301,,1
,,,,,,,0.3,1
0.0,0.58,0.45,,,0.3945,,0.285,1
,,,,,,0.234,,1
2.0,0.605,0.475,,,0.394,,0.295,1
,,,0.14,,,,0.2,1
2.0,,0.47,0.165,0.9975,,,,1
0.0,0.68,0.56,0.165,,,,0.46,1
,0.665,,,,0.5515,,0.35,1
,,,,,,,0.455,1
,0.705,0.55,0.2,1.7095,0.633,,,1
,,0.355,0.105,0.4795,,0.124,0.125,0
,,0.475,,1.217,,0.3075,0.34,1
,,,,,0.237,,,0
,,0.445,,,,,,1
,,,0.09,,0.134,0.086,0.09,1
,,0.335,0.105,,0.1865,,,1
,0.55,,,,,,,1
1.0,0.24,,,,,,,0
1.0,,0.15,,,,0.015,0.012,0
,,,,,,,0.015,0
,,,0.095,,,,,0
2.0,,0.37,,0.5795,0.293,,,1
0.0,0.46,0.375,0.12,,,,,0
,0.325,0.245,,,0.0755,,0.045,0
0.0,0.525,0.425,0.16,,,,0.245,1
,,0.41,0.12,0.595,,0.111,,0
,0.4,,,0.303,0.1335,0.06,,0
,,,,0.5415,,,,1
,,,0.12,,,0.1055,,1
2.0,,,0.1,0.385,,,,0
,0.5,,,0.6615,,,,0
,0.445,,,0.4425,,,0.135,0
,0.47,,,,,,,0
,,,0.06,0.086,,0.014,,0
0.0,,0.4,0.125,,,,,0
,0.45,0.345,,,0.18,,,0
,0.505,0.405,,0.625,,,,1
,,0.41,0.13,0.6965,,,,1
,,,0.095,0.3785,0.1705,0.08,,0
,,,,,0.234,0.1315,,0
,,0.355,,,,,,0
,,0.44,,,,,0.32,1
,0.595,0.495,,1.285,0.416,,,1
,,,,,0.2135,0.1155,,1
,,,,,0.063,,,0
2.0,0.555,,,,,0.168,,1
,0.4,,,,0.1405,,,0
,0.595,0.475,,1.247,,,,1
2.0,,0.48,,,,,0.38,1
0.0,,,,,,,,1
,0.6,0.475,,,,0.221,,1
,0.595,,,0.944,,,,1
0.0,0.6,,,0.922,0.363,,,1
,0.555,,,,,,,1
0.0,0.615,,,1.1025,,,,1
,,,,0.941,,,,1
,,,,,0.5105,0.192,,1
,0.52,,,,0.396,,0.32,1
2.0,0.595,,0.16,,0.408,,0.58,1
,,0.45,,1.013,,,,1
,,,,,,0.2225,,1
,0.625,,,1.195,,,,1
,,,,0.8645,0.3305,0.2075,,1
0.0,,,0.13,,,,0.165,1
,,,0.16,0.9775,,,0.33,1
,0.565,,,,,,,1
2.0,0.555,,,,0.307,0.1525,,1
,,0.465,,,,,,1
,,,0.165,1.262,,0.318,0.39,1
2.0,,,0.19,1.494,,0.3425,,1
,,,0.195,,0.5755,0.388,0.48,1
,,0.435,,,,0.1385,,1
,,,,0.523,0.214,,0.145,0
,,0.37,0.13,,0.201,,,0
0.0,,,0.125,0.5785,0.2775,0.085,0.155,1
,0.36,0.265,,0.2315,0.105,,0.075,0
2.0,,0.435,0.145,0.843,,,,1
,0.53,0.435,,,0.316,,,1
,,0.415,0.14,,,0.1675,0.205,1
,,,0.16,,0.4975,0.2405,,1
0.0,0.52,0.41,,,,,,1
,0.545,,,0.802,0.2935,0.183,,1
,,,0.125,,,,0.22,1
,,,,0.6335,0.231,0.179,,1
,,,,0.3635,,0.098,,1
2.0,,,,,,,,1
,0.465,,0.105,,0.172,,,1
,0.435,0.32,0.08,0.3325,,,0.105,1
,,0.35,,,,0.063,0.165,1
,0.545,,,,0.2975,,,1
0.0,0.53,,,0.5915,0.233,,0.18,1
,,,,,0.2555,0.102,,1
,,0.34,,,,0.0955,,1
,,0.43,,,0.3465,,,1
2.0,,0.305,0.085,0.2605,,,,0
0.0,0.47,,,0.4205,0.163,,,1
,0.385,,,,,0.0575,,0
0.0,,0.425,,,,,,1
,,0.265,,,,,,0
1.0,,,0.08,,,,,0
1.0,,,0.06,,,0.0235,0.03,0
,0.375,,,,,,0.07,0
,,,,,0.112,,,0
,,0.535,,,,,,1
,0.71,,,,,0.261,,1
,0.595,0.48,0.165,,0.4835,,,1
,0.44,0.35,0.125,,,,0.129,1
,,0.26,0.09,,,0.036,,0
,,0.26,,0.211,,,,0
1.0,,0.2,0.065,,0.04,0.0205,0.028,0
0.0,0.425,0.33,,0.406,,,,0
0.0,,0.23,0.08,,,,0.048,0
,,,0.09,,,0.0295,0.063,1
,,0.325,,,,,,1
2.0,0.375,,,,0.096,,,1
,0.565,,0.155,,,,0.2475,1
,0.55,,,,,,0.2665,1
,,0.52,,1.3445,,,,1
,0.56,,,,0.34,,,1
,,,0.13,,,,0.17,1
0.0,,0.38,,0.549,0.245,,,1
,,,,0.515,0.224,,,1
1.0,,0.205,0.08,,0.052,,0.042,1
,,,0.055,,,,,0
,0.17,,,,,,,0
,,0.475,0.145,,,,0.325,1
0.0,0.605,0.5,0.185,1.1185,,,,1
,,0.515,,,0.5065,,,1
0.0,0.605,,,1.0565,0.37,0.2355,,1
,,,,,0.387,,0.31,1
,,,,0.722,0.32,,,1
0.0,0.575,0.46,,,,0.2425,0.34,1
,0.645,,,1.514,,,,1
,,,0.17,0.9075,0.374,,,1
0.0,,,,1.124,,0.1785,,1
,0.605,,,1.056,,0.2475,,1
0.0,0.605,0.485,,,0.53,,,1
,,,0.175,1.2445,,0.297,0.345,1
,0.725,0.56,,,0.65,0.398,1.005,1
0.0,0.65,0.545,0.23,,0.5605,0.2895,,1
,,,0.19,,1.0705,0.483,,1
0.0,,,,2.124,,0.4515,0.85,1
,,,,,,0.408,,1
,0.705,,,,,0.3085,,1
,0.68,,0.175,1.6185,,,0.62,1
2.0,,,0.215,,,,0.59,1
,0.53,,,,,0.169,,0
,,,,1.065,0.486,0.233,,0
0.0,,,,0.776,,0.1845,0.22,0
1.0,,,,,0.0185,,,0
,,,,,0.0645,,,0
,,,,,0.06,0.0375,,0
,0.315,,,,,,0.05,0
,,,,,,,0.015,0
2.0,,0.475,,,0.385,,,1
,0.57,,0.18,,,,,1
,,0.51,0.175,1.368,,0.266,,1
,,,,,0.429,,0.3,1
0.0,,0.475,,,0.4355,,,1
0.0,,,0.2,,,0.367,,1
,,,0.19,,,,,1
0.0,0.63,,,,,,,1
,,,,,0.54,,,1
,,,0.16,1.199,0.5265,,,1
,,,,,0.365,0.271,0.29,1
2.0,,,0.18,,,,,1
,0.61,,,1.0225,0.419,,,1
2.0,,0.45,0.15,,,0.1815,,1
,,,0.085,,0.092,0.06,,0
0.0,,0.4,0.14,,,,,1
2.0,0.5,0.405,0.155,,0.346,,,1
,,,0.15,,,0.145,,1
,,,0.185,,,,0.465,1
2.0,,,,,0.432,,0.26,1
,,,,,,0.213,0.285,1
0.0,,,,,0.1655,0.095,,1
,,,,,0.254,0.205,0.285,1
0.0,0.5,,,,,0.1465,,1
,,0.435,,,,,,1
,0.42,,,,0.171,,0.12,0
,0.44,,0.14,,,0.1085,,1
,0.4,,0.11,,0.109,,,1
,0.435,,,0.3795,,,0.12,0
,0.525,,0.17,,,,,1
,,,,,0.122,,,0
,0.49,0.365,,,,,0.22,1
2.0,0.335,,,,0.0755,0.0415,0.06,0
0.0,0.415,,0.105,0.38,0.1595,0.0785,,1
2.0,,,,0.6155,,0.1355,0.205,1
,,,0.16,0.66,,,,1
2.0,,0.405,,,,,,1
,0.45,0.35,0.13,0.46,,,0.135,0
1.0,,0.3,0.12,0.324,0.1265,,,0
,,,,,,,,1
,,,0.13,,,,,0
,,0.325,0.125,,,,,1
,0.47,,0.145,0.5175,0.187,,,1
,,0.375,0.15,,,,0.19,1
,0.445,,,0.485,0.181,0.125,,1
,,0.38,,,,,0.1,1
0.0,,,0.135,,,0.1055,,1
,,0.29,0.125,0.3055,,,,0
,0.365,,,0.205,,,0.07,0
,0.58,,,,,,0.35,1
,0.53,,,,,0.158,0.245,1
,0.555,0.445,0.135,,,,,1
2.0,0.565,,0.175,0.9025,,,0.325,1
,,,0.215,1.4455,,,0.435,1
,,,,,0.0485,0.029,0.035,0
,,,,,0.1815,,,1
,,0.225,,0.124,,,,1
,,,,0.002,,0.0005,,0
1.0,,,,,,0.003,,0
1.0,,0.09,,,0.0025,,,0
,,,,,,0.0045,,0
,,0.425,,,,,0.275,1
,0.27,,,,,,,0
1.0,,0.175,0.065,,0.026,,,0
,,,0.08,,0.0435,,,0
,0.33,,,0.1655,,0.039,0.06,0
1.0,,0.26,0.085,,,0.0345,,1
,0.32,,,,,0.0325,,1
,,,,0.1975,,,,1
,0.305,,0.075,,0.0675,,,0
,,0.27,0.11,0.2135,,,0.07,0
,0.33,,,0.1715,0.0655,,0.06,0
,0.59,,0.18,,,,0.36,1
,0.595,,0.155,,,,0.3,1
0.0,,0.46,,,,0.217,0.345,1
,0.6,,,1.2415,0.485,,,1
2.0,,0.45,,1.011,,,0.37,1
,0.56,0.45,,,,,0.41,1
2.0,0.545,0.46,,0.8975,,,0.345,1
,,,,1.415,,0.297,0.365,1
0.0,0.59,,,,0.4775,,,1
,,,,,,,,1
,0.57,,0.125,,,,,1
,0.53,,,,0.319,,,1
1.0,,0.195,0.06,,,0.0245,,0
,,0.2,,,0.0465,,,0
,,0.38,,0.639,,0.1525,,1
,,,0.15,0.895,,,,1
,0.35,0.275,,,,0.0635,0.0905,0
,0.47,,,0.6355,,,,1
,,,0.125,0.4995,,0.1,,1
,,,,1.779,0.4535,0.2855,,1
,0.59,0.5,,1.187,,0.2705,,1
2.0,,,,,,0.2505,,1
2.0,0.63,,,,,0.3335,,1
,,,,,,,,1
,,0.54,0.215,1.844,0.7425,,0.585,1
,0.66,,,,,,0.49,1
2.0,0.61,0.5,,,,,,1
,0.635,0.525,,,0.55,,,1
,,,,,,0.1605,,1
0.0,,0.415,,0.8415,0.314,0.1585,,1
,0.36,,0.105,0.2415,,0.057,0.075,0
,0.455,,,0.4495,0.177,,0.15,1
,,,,0.6295,,,,1
2.0,,,,,,,0.31,1
0.0,,0.415,,,,0.1965,,1
2.0,,,,0.699,,0.1595,,1
0.0,0.495,,,,0.242,,,1
,0.44,0.355,,,,,0.19,1
0.0,,,,,,0.1795,,1
2.0,,,,0.996,,0.226,,1
,,0.505,0.21,,0.501,,,1
,0.61,,,1.116,0.428,,,1
0.0,,,,,,,,1
,,,,,,,,1
1.0,,,,,,0.034,0.04,0
1.0,,0.205,,,0.045,0.0285,0.035,0
,,0.21,0.085,0.1065,,,0.03,0
,,,0.14,,,,,1
2.0,0.37,,0.105,,0.0905,,,1
,,,,,,,0.1,1
,,0.435,0.175,,0.322,0.174,,1
2.0,0.37,,0.1,0.252,,0.0595,,0
,,0.27,,,0.0885,0.0495,,0
,,,,,,0.114,0.15,1
,,,,,,,,0
1.0,,,0.03,,,,,0
2.0,0.645,,,1.5415,0.471,0.369,,1
2.0,0.55,,,,,0.1635,,1
,,,,,,0.2355,0.275,1
,,0.485,,1.2435,,0.3055,,1
,,,,,,,,1
,0.595,,,1.3305,,0.3235,0.345,1
,,,,1.2255,,0.27,,1
,0.63,0.485,,,,0.2945,0.46,1
1.0,,,0.11,0.4585,0.194,0.067,0.14,0
,,,0.19,1.242,0.576,,0.39,1
,,0.35,,,0.1465,,0.12,1
,,,0.155,0.8365,0.315,,,1
,,,0.095,0.172,0.066,,,0
,0.265,0.21,,,,0.022,,0
1.0,,0.145,0.04,0.038,,0.0065,0.015,0
,,0.31,0.1,0.2845,0.1065,,0.1,1
,,,0.07,,,,0.035,0
,,0.265,0.105,,,,0.075,0
,,,,,,0.053,0.08,0
,,,,,,,0.065,0
2.0,0.51,,0.13,,,0.1665,0.205,1
2.0,,0.295,0.105,,,,,0
1.0,,,,0.2255,,,,0
,,,,0.5955,,,,1
0.0,,,,,,,,0
1.0,0.3,,0.08,0.121,,,,0
1.0,,,0.04,,,,0.02,0
0.0,0.74,,,,0.598,0.4085,0.71,1
2.0,,,,,,,,1
,0.6,0.475,,1.0875,0.403,,0.325,1
,0.59,0.45,,1.283,,0.276,0.425,1
2.0,0.62,,,,,0.325,,1
0.0,,,0.195,1.0035,,,,1
,,0.455,,,,,0.3,1
0.0,,,,,0.4775,0.2565,,1
,,,,,,0.3065,,1
,0.505,0.375,,,0.2325,0.1495,,1
0.0,,0.425,,,,,,0
2.0,0.49,,,,0.2795,0.2185,0.18,1
,0.525,,0.16,0.756,,,,1
,,,0.08,,,,0.055,0
,,,0.115,,,,0.09,0
,,,,,,0.2455,0.28,1
0.0,,,0.185,1.153,,0.2905,,0
,,0.45,0.17,,0.3325,,,1
,,,,,,,,1
2.0,,,,0.93,,,,1
2.0,0.635,,0.17,1.275,0.509,,,1
,0.7,0.58,0.205,,,0.49,,1
,,,0.185,1.587,0.6935,,,1
,0.645,0.525,,,0.7035,,,1
,,0.585,0.215,2.499,0.9265,,0.7,1
,,,,1.768,,0.392,0.485,1
,,0.49,,,,,,1
,,0.465,,0.997,,,,1
,0.65,,,,,0.2995,,1
,0.6,,,1.029,0.4085,,0.295,1
,,,,1.186,,,,1
2.0,,0.515,,,0.4215,,0.355,1
2.0,,0.465,,,,,,1
,,,0.12,,,,,1
2.0,,,0.18,1.13,,,,1
0.0,,,,,,,,1
,0.65,0.545,0.165,,,,,1
0.0,,,,,0.692,,,1
,,,0.2,1.787,0.585,0.453,,1
,,0.575,,,0.5095,,0.42,1
,,,,,0.4635,0.292,,1
,,,,,,0.3695,,1
,0.63,,,,0.4935,,0.285,1
,,0.45,,1.077,,,,1
2.0,0.565,,,,,0.183,,1
,,0.495,0.185,1.1085,,,0.33,1
,,,,,,,0.385,1
2.0,0.535,0.42,0.145,0.791,,,0.25,1
,0.485,,,0.663,0.313,,,1
,,0.375,,,,,,1
,,0.425,0.135,,,,,1
,,,0.105,,0.216,0.1245,,1
2.0,,,,,,,,1
,,0.38,,,,0.1225,0.145,1
,,0.42,,,0.239,,,1
,,,,,,0.119,,1
1.0,,,0.1,,,,0.105,1
,0.475,,,,,0.115,0.18,1
,,,0.125,,,,0.18,1
,0.365,0.295,0.095,0.25,,0.0545,,1
,,,,,,0.0535,,0
,,,,,0.116,0.064,,1
0.0,,,,0.7155,0.3165,,,1
2.0,,,,0.5865,,,0.185,0
,,0.44,,,0.256,,0.26,1
,,,0.15,0.987,0.4355,,,1
,,0.365,0.12,0.5885,0.27,0.131,,1
,,0.455,0.135,,,0.1625,,1
,,,,0.4335,,,,0
,0.515,,,0.6935,,,,1
,,,0.12,,,,,0
