Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,class
,1623.533,617.4970769187398,,1.623356675511712,0.787740232821007,184527.0,482.672020048253,0.7935467083008066,0.9915947259750606,0.8723318958934922,0.7816587933610101,0.0033747435560879,0.0007771223708261,0.6109904692385901,,1
54413.0,922.901,379.7136483008032,,2.0731653902364844,,54921.0,263.21243007820584,,,0.8027906428494836,0.6931866453999385,,0.0009938802218078,0.48050772536082,0.99617198595931,4
37393.0,696.7230000000001,244.0433475202564,195.23651756165455,1.2499882223272545,0.5999899494930355,37667.0,218.19772294018543,0.7822803347280335,,0.9680100771773852,0.8940941236764273,,0.0025727014359405,0.7994043019927184,0.999245962368638,5
81061.0,,417.82955124874735,248.4662741872931,1.681634872239396,0.8039777277874832,82201.0,,0.7491359074358168,0.9861315555771828,0.7813156608758108,0.7688858797977458,0.0051545077318161,0.0011112569743274,0.5911854961523537,0.9941581462919472,0
173392.0,,620.2462774273386,,1.732107619298645,0.8165099708122611,175368.0,469.8612041238554,0.8390409135999612,0.9887322658637836,,0.7575397406216587,0.0035771331862331,,0.5738664586211301,0.99399846543759,1
174668.0,1618.159,631.7654455477975,,1.772011252095522,0.8255489592742187,178496.0,471.58690058122,0.754880394148281,0.978554141269272,0.8382640192459738,,0.0036169501313795,,0.5572007973223344,0.9873660825317732,1
,,,203.3579528051858,1.898470647321936,0.8500265938950553,62193.0,279.7925305802439,,0.988600003215796,,0.7247213710287914,0.006279180019194,,0.5252210656258512,0.997116776445827,0
35858.0,696.918,260.7961094467005,175.47281888001163,1.4862479050104789,0.739792341748567,,213.67223402939717,0.8225066519864208,,0.927753419325977,,0.0072730244142646,,0.6712649403345268,0.9976661112791744,3
28653.0,629.4849999999999,240.84276651162483,,,0.7760125214730699,,191.0029650955624,,0.9893308473171742,0.9086762818060736,0.7930608332650222,0.0084054991278967,0.0020510170853551,0.6289454852590113,0.9971904757781758,3
161473.0,,605.2850030335993,343.0184744675564,1.7645842661190216,0.8239202783113665,163971.0,453.42453507394254,0.8000644122383253,0.9847655987949088,,0.7491091515590929,0.0037485214434214,,0.5611645209495839,0.990222084371854,1
,1029.494,,246.0212561154585,1.4103648072925603,0.7051718719900992,67731.0,291.2923441153933,0.7352707533430425,0.9839216902157064,0.7901512774630296,0.8395082654408415,0.005206622272308,0.0015952756639289,0.7047741277434904,0.99398862685973,0
36917.0,700.833,,,1.1919172250320698,0.5441554164750302,37353.0,216.80448397804875,0.7717086834733894,0.988327577436886,0.944511345821973,0.9150745912301066,0.0064177879285041,0.002775818787198,0.8373615075149469,0.9980656043858862,5
,1478.0799999999997,550.008240163874,358.91152466222866,1.532434046751456,0.7577399569093959,156062.0,443.8519291816106,0.7681809154999504,0.9914457074752342,0.8899796738995566,,0.0035547011198037,0.0009299476832139,0.6512351473760334,,1
57011.0,942.7,381.98092902993744,,1.9938327768074389,0.8651306452045543,,269.4228269558768,0.7753644869981504,0.9884186619046792,,0.7053305714504952,0.0067001268006163,0.0010229010321993,0.4974912150226822,,4
,760.064,276.5469405348518,193.29979253643427,1.4306634109952634,0.7151447082740673,,231.0919432278567,0.7737133370226895,0.9901090600066096,0.912365865632977,0.8356337003075012,0.0065933991496757,0.0019831379063442,0.6982836810896066,0.9990089130299852,6
128118.0,1360.135,504.024964188086,,1.5476153495163227,0.7632058776988607,,403.88724168062,0.782247133384621,,0.8702739456730508,,0.0039340683134929,0.0010005850463992,0.6421199662563117,0.9937547160091712,1
44074.0,841.2839999999999,338.6638548929486,167.2181202245887,2.025282035452218,,44765.0,236.88976274769144,,0.9845638333519492,0.7825409489577945,0.6994834533569345,0.0076839827311555,0.001134686596678,0.4892771015201428,0.9909241240668764,4
176920.0,1640.2039999999995,627.0168971130382,362.9134489918866,1.7277312231188653,0.8154739833294445,,474.6172565916088,0.7178825467544746,0.981569223599383,0.8264014325454933,0.7569449225003023,0.0035440701849029,0.0007176938043166,0.5729656156989887,0.9899305840166676,1
39323.0,747.4999999999999,249.56852915268652,200.93520168192157,1.2420348802185048,,,223.7579017992902,,,,0.8965789979969576,0.0063466299405611,0.0025297475549816,0.8038538996492285,0.9984145819640076,5
,,224.2339337868441,190.256598567,1.1785868951498089,0.5292375241215144,,206.36077585920307,0.7678145087235997,0.992080206448551,0.976437439959996,,0.0067043572859787,0.0029664714823037,,0.998190058164914,5
43741.0,,260.6932803185712,213.92277344635795,1.2186326687838176,0.571514710567687,44085.0,235.99315864291648,,,0.9621234153277236,0.9052521735678388,0.0059599295927978,0.0024688755401902,0.819481497749297,,5
38338.0,718.737,247.10909824465156,197.705006950986,1.2498879115687425,,38802.0,220.9376782399432,0.7641313880251933,0.9880418535127056,0.9326083766437112,0.8940896138967849,0.0064455396276449,0.002540757670839,0.799396237678102,0.999155694027393,5
52566.0,867.6319999999998,333.9816708103073,201.88218092035805,,0.7966272680730065,53332.0,,0.7560733549083064,0.9856371409285232,0.8774930232428246,0.7746131968382481,0.006353568291487,0.0014110325479598,,0.9926460724686798,6
74795.0,1034.077,393.36132525309273,243.1153263897228,1.6180029909859326,0.7861420693299841,,308.59674617284367,0.8024353610127669,0.9910823130333386,0.8789753042381131,0.7845121682318142,,0.0012288463707587,0.6154593421037823,0.995815056354154,2
166639.0,1586.606,,,1.582955265955278,0.7751886677601512,170464.0,460.6206296890346,,0.977561244602966,,0.7919132648372175,0.0034905118466722,0.0008467970756166,0.6271266190251411,0.9927133840065768,1
30918.0,647.1109999999999,237.9300256195391,165.8571184952835,1.434548168798104,0.71698985797383,31228.0,198.4087201816537,0.7381463973642745,0.9900730114000256,0.9278199196308524,0.8338952583433847,,0.0022954278088329,,0.9975579732392702,3
81172.0,,404.01642101033633,256.2952611624271,1.5763710151249772,,82356.0,321.48312603501074,0.7689655172413793,,0.8050736181601804,0.7957179691634018,0.004977287993524,0.0012308615218599,0.6331670864495286,0.9981062428101676,0
,693.3159999999999,245.51020839419024,,1.3222364369312851,0.6542314537592533,36140.0,213.41584991341725,,0.9898173768677366,0.9351701599556234,0.8692748513770866,0.0068631949120594,0.0024173222932819,0.755638767236656,0.9991331111981449,5
28735.0,626.7959999999999,237.553559734588,154.26567203079415,,0.7604527865762276,29049.0,191.27607879179484,0.7973970473970474,,0.9191124160661182,0.805191380863761,0.0082670457537702,0.0021435152289827,0.64833315981729,,3
55676.0,934.071,333.102779952971,215.62286077989611,1.5448398131262908,,57508.0,266.2496664649084,0.7993567931544414,0.968143562634764,0.8018961208543144,0.7993018446213469,0.0059828791571407,0.0015063755383286,0.6388834388150877,0.9869725722285824,0
67724.0,969.983,359.95047767229994,240.5130294492974,1.4965945025784193,0.7439963639732731,68288.0,293.6475351976314,0.7993107355301671,0.9917408622305528,,0.8157998208436024,0.005314961869829,0.0014521595602311,,0.9960275630551412,0
82319.0,1166.127,391.42239665159263,268.9452484477423,1.4553980741832977,0.7265654703219431,83725.0,323.74651516742824,0.6903060796645702,,,0.8271026848154448,0.0047549459620694,0.0013726602921389,0.6840988512289171,0.9956361506295722,0
63223.0,,345.59293352608427,234.5236670302352,1.4735951296613907,0.7344965240585277,,283.7217364545607,0.7337859795728876,0.9793664317248858,,0.820970884907131,0.0054662533180343,0.0015317240754986,0.6739931938651977,,0
80033.0,1100.196,395.7101113135771,258.4131871230655,1.5313077313083328,0.7573263459634534,81267.0,319.2196430105599,,,0.8308810178223118,0.8067007485628716,0.004944336852468,0.0012916286022191,0.6507660977318972,0.9965231567302084,0
,1137.745,427.36438182498006,240.14657721345225,1.7795980554206312,0.8271884288582828,,,0.6697101726967518,0.9849180970583552,0.7804085548130489,0.7486136645137913,0.0053161385971511,,,0.9973266465268936,0
,889.827,367.6218950566988,176.9150755812647,2.0779568606511107,0.8765878113170819,51321.0,254.31623847861556,0.8017203282828282,0.9897897546813196,0.8061888167572403,,,,0.4785699705682528,0.994447753643901,4
54983.0,941.046,376.9001653156027,187.41341854076265,2.011062859053641,0.8676075929301397,55651.0,264.58747114739475,0.694229797979798,0.9879966218037411,0.7802191223848999,0.7020094324602875,0.00685484904999,0.0010269503528219,0.4928172432632149,0.9910864542278544,4
66358.0,981.292,376.3855560855639,226.569450359474,1.6612370091748572,,67547.0,,0.6860835401157982,0.9823974417812782,0.8659775545621831,0.7722692711930729,0.0056720449092131,0.0012444986832857,0.5963998272290801,0.9907614652584388,2
36525.0,710.788,265.2592743029424,176.23122074062994,1.5051775343106792,0.7474007701919683,36867.0,215.6503521245718,0.8231913455037188,0.9907234111807308,0.908489504369278,0.8129794997413958,0.007262403129444,0.0019569444286145,0.6609356669997704,0.9948255175926984,3
