word_freq_1,word_freq_2,word_freq_3,word_freq_4,word_freq_5,word_freq_6,word_freq_7,word_freq_8,word_freq_9,word_freq_10,word_freq_11,word_freq_12,word_freq_13,word_freq_14,word_freq_15,word_freq_16,word_freq_17,word_freq_18,word_freq_19,word_freq_20,word_freq_21,word_freq_22,word_freq_23,word_freq_24,word_freq_25,word_freq_26,word_freq_27,word_freq_28,word_freq_29,word_freq_30,word_freq_31,word_freq_32,word_freq_33,word_freq_34,word_freq_35,word_freq_36,word_freq_37,word_freq_38,word_freq_39,word_freq_40,word_freq_41,word_freq_42,word_freq_43,word_freq_44,word_freq_45,word_freq_46,word_freq_47,word_freq_48,char_freq_1,char_freq_2,char_freq_3,char_freq_4,char_freq_5,char_freq_6,capital_run_length_average,capital_run_length_longest,capital_run_length_total,class
0.11,,0.11,0.0,0.46,0.46,0.0,0.11,0.93,1.74,0.11,0.34,,0.11,2.09,0.0,0.46,0.0,3.49,,,,0.46,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.11,0.0,,0.0,0.0,0.34,0.0,0.0,0.0,0.019,0.172,,0.23,,,4.281,144.0,655.0,1
0.0,,,0.0,0.0,0.45,0.0,0.0,,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.45,,0.0,1.36,0.0,0.0,0.0,0.45,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.416,0.0,0.486,,0.0,3.782,31.0,87.0,0
0.85,0.85,,0.0,1.7,,0.0,,0.0,0.85,0.0,0.85,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.85,0.0,0.0,0.0,,0.85,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.275,,,0.0,0.0,,,31.0,0
,0.17,1.03,0.0,0.68,0.17,,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.34,1.03,0.34,0.17,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.084,0.0,0.056,0.196,0.0,,53.0,208.0,1
0.0,0.36,0.0,,0.36,0.0,0.0,0.0,0.0,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0,,1.08,,0.0,7.22,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,3.972,0.0,0.0,0.063,,0.504,6.423,43.0,334.0,0
0.0,1.05,0.0,0.0,0.0,,1.05,,0.0,,0.0,,,0.0,,3.15,0.0,1.05,0.0,0.0,1.05,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.74,,0.0,4.947,24.0,94.0,1
0.1,0.0,,0.0,0.4,0.1,0.1,0.0,0.2,0.2,0.4,0.5,0.0,0.6,0.0,,0.2,0.0,1.72,4.26,1.72,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.093,0.0,0.297,0.156,0.0,,494.0,,1
0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.473,,,4.071,,,1
0.41,0.0,,0.0,0.0,0.0,0.41,0.0,,0.0,0.41,,0.41,0.0,0.0,0.0,0.0,0.0,,0.0,1.23,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,,0.0,0.41,0.41,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.067,0.0,,0.0,0.0,1.863,14.0,41.0,1
0.0,0.0,0.0,0.0,6.25,,3.12,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,60.0,,1
